Id,MSSubClass,MSZoning,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageType,GarageYrBlt,GarageFinish,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
11,1-Story 1946 & Newer All Styles,Residential Low Density,11200,Paved,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Sawyer,Normal,Normal,Single-family Detached,One story,5,5,1965,1965,Hip,Standard (Composite) Shingle,Hard Board,Hard Board,None,0.0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure/No Basement,Average Rec Room,906,Unfinished/No Basement,0,134,1040,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1040,0,0,1040,1,0,1,0,3,1,Typical/Average,5,Typical Functionality,0,Detached from home,1965.0,Unfinished/No Garage,384,Typical/Average,Typical/Average,Paved,0,0,0,0,0,0,0,2,2008,Warranty Deed - Conventional,Normal Sale,129500
12,2-Story 1946 & Newer,Residential Low Density,11924,Paved,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Northridge Heights,Normal,Normal,Single-family Detached,Two story,9,5,2005,2006,Hip,Standard (Composite) Shingle,Wood Shingles,Wood Shingles,Stone,286.0,Excellent,Average/Typical,Poured Contrete,Excellent (100+ inches),Typical - slight dampness allowed,No Exposure/No Basement,Good Living Quarters,998,Unfinished/No Basement,0,177,1175,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1182,1142,0,2324,1,0,3,0,4,1,Excellent,11,Typical Functionality,2,Built-In/No Garage,2005.0,Finished,736,Typical/Average,Typical/Average,Paved,147,21,0,0,0,0,0,7,2006,Home just constructed and sold,Home wasn't completed,345000
13,1-Story 1946 & Newer All Styles,Residential Low Density,12968,Paved,Moderately Irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Sawyer,Normal,Normal,Single-family Detached,One story,5,6,1962,1962,Hip,Standard (Composite) Shingle,Hard Board,Plywood,None,0.0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure/No Basement,Average Living Quarters,737,Unfinished/No Basement,0,175,912,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,912,0,0,912,1,0,1,0,2,1,Typical/Average,4,Typical Functionality,0,Detached from home,1962.0,Unfinished/No Garage,352,Typical/Average,Typical/Average,Paved,140,0,0,0,176,0,0,9,2008,Warranty Deed - Conventional,Normal Sale,144000
14,1-Story 1946 & Newer All Styles,Residential Low Density,10652,Paved,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,College Creek,Normal,Normal,Single-family Detached,One story,7,5,2006,2007,Gable,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,Stone,306.0,Good,Average/Typical,Poured Contrete,Good (90-99 inches),Typical - slight dampness allowed,Average Exposure,Unfinished/No Basement,0,Unfinished/No Basement,0,1494,1494,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1494,0,0,1494,0,0,2,0,3,1,Good,7,Typical Functionality,1,Attached to home,2006.0,Rough Finished,840,Typical/Average,Typical/Average,Paved,160,33,0,0,0,0,0,8,2007,Home just constructed and sold,Home wasn't completed,279500
15,1-Story 1946 & Newer All Styles,Residential Low Density,10920,Paved,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Corner lot,Gentle slope,North Ames,Normal,Normal,Single-family Detached,One story,6,5,1960,1960,Hip,Standard (Composite) Shingle,Metal Siding,Metal Siding,Brick Face,212.0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure/No Basement,Below Average Living Quarters,733,Unfinished/No Basement,0,520,1253,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1253,0,0,1253,1,0,1,1,2,1,Typical/Average,5,Typical Functionality,1,Attached to home,1960.0,Rough Finished,352,Typical/Average,Typical/Average,Paved,0,213,176,0,0,0,0,5,2008,Warranty Deed - Conventional,Normal Sale,157000
16,1-1/2 Story - Unfinished All Ages,Residential Medium Density,6120,Paved,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Corner lot,Gentle slope,Brookside,Normal,Normal,Single-family Detached,One and one-half story: 2nd level unfinished,7,8,1929,2001,Gable,Standard (Composite) Shingle,Wood Siding,Wood Siding,None,0.0,Average/Typical,Average/Typical,Brick & Tile,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure/No Basement,Unfinished/No Basement,0,Unfinished/No Basement,0,832,832,Gas forced warm air furnace,Excellent,Yes,Fuse Box over 60 AMP and all Romex wiring (Average),854,0,0,854,0,0,1,0,2,1,Typical/Average,5,Typical Functionality,0,Detached from home,1991.0,Unfinished/No Garage,576,Typical/Average,Typical/Average,Paved,48,112,0,0,0,0,0,7,2007,Warranty Deed - Conventional,Normal Sale,132000
17,1-Story 1946 & Newer All Styles,Residential Low Density,11241,Paved,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Cul-de-sac,Gentle slope,North Ames,Normal,Normal,Single-family Detached,One story,6,7,1970,1970,Gable,Standard (Composite) Shingle,Wood Siding,Wood Siding,Brick Face,180.0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure/No Basement,Average Living Quarters,578,Unfinished/No Basement,0,426,1004,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1004,0,0,1004,1,0,1,0,2,1,Typical/Average,5,Typical Functionality,1,Attached to home,1970.0,Finished,480,Typical/Average,Typical/Average,Paved,0,0,0,0,0,0,700,3,2010,Warranty Deed - Conventional,Normal Sale,149000
18,Duplex - All Styles and Ages,Residential Low Density,10791,Paved,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Sawyer,Normal,Normal,Duplex,One story,4,5,1967,1967,Gable,Standard (Composite) Shingle,Metal Siding,Metal Siding,None,0.0,Average/Typical,Average/Typical,Slab,Fair (70-79 inches)/No Basement,Fair/No Basement,No Exposure/No Basement,Unfinished/No Basement,0,Unfinished/No Basement,0,0,0,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1296,0,0,1296,0,0,2,0,2,2,Typical/Average,6,Typical Functionality,0,Car Port,1967.0,Unfinished/No Garage,516,Typical/Average,Typical/Average,Paved,0,0,0,0,0,0,500,10,2006,Warranty Deed - Conventional,Normal Sale,90000
19,1-Story 1946 & Newer All Styles,Residential Low Density,13695,Paved,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Sawyer West,Adjacent to East-West Railroad,Normal,Single-family Detached,One story,5,5,2004,2004,Gable,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,None,0.0,Average/Typical,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure/No Basement,Good Living Quarters,646,Unfinished/No Basement,0,468,1114,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1114,0,0,1114,1,0,1,1,3,1,Good,6,Typical Functionality,0,Detached from home,2004.0,Unfinished/No Garage,576,Typical/Average,Typical/Average,Paved,0,102,0,0,0,0,0,6,2008,Warranty Deed - Conventional,Normal Sale,159000
20,1-Story 1946 & Newer All Styles,Residential Low Density,7560,Paved,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,North Ames,Normal,Normal,Single-family Detached,One story,5,6,1958,1965,Hip,Standard (Composite) Shingle,Brick Face,Plywood,None,0.0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure/No Basement,Low Quality,504,Unfinished/No Basement,0,525,1029,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1339,0,0,1339,0,0,1,0,3,1,Typical/Average,6,Minor Deductions 1,0,Attached to home,1958.0,Unfinished/No Garage,294,Typical/Average,Typical/Average,Paved,0,0,0,0,0,0,0,5,2009,Court Officer Deed/Estate,Abnormal Sale,139000
21,2-Story 1946 & Newer,Residential Low Density,14215,Paved,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Corner lot,Gentle slope,Northridge Heights,Normal,Normal,Single-family Detached,Two story,8,5,2005,2006,Gable,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,Brick Face,380.0,Good,Average/Typical,Poured Contrete,Excellent (100+ inches),Typical - slight dampness allowed,Average Exposure,Unfinished/No Basement,0,Unfinished/No Basement,0,1158,1158,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1158,1218,0,2376,0,0,3,1,4,1,Good,9,Typical Functionality,1,Built-In/No Garage,2005.0,Rough Finished,853,Typical/Average,Typical/Average,Paved,240,154,0,0,0,0,0,11,2006,Home just constructed and sold,Home wasn't completed,325300
22,1-1/2 Story - Unfinished All Ages,Residential Medium Density,7449,Paved,Regular,Banked - Quick and significant rise from street grade to building,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Iowa DOT and Rail Road,Normal,Normal,Single-family Detached,One and one-half story: 2nd level unfinished,7,7,1930,1950,Gable,Standard (Composite) Shingle,Wood Siding,Wood Siding,None,0.0,Average/Typical,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure/No Basement,Unfinished/No Basement,0,Unfinished/No Basement,0,637,637,Gas forced warm air furnace,Excellent,Yes,60 AMP Fuse Box and mostly Romex wiring (Fair),1108,0,0,1108,0,0,1,0,3,1,Good,6,Typical Functionality,1,Attached to home,1930.0,Unfinished/No Garage,280,Typical/Average,Typical/Average,Dirt/Gravel,0,0,205,0,0,0,0,6,2007,Warranty Deed - Conventional,Normal Sale,139400
23,1-Story 1946 & Newer All Styles,Residential Low Density,9742,Paved,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,College Creek,Normal,Normal,Single-family Detached,One story,8,5,2002,2002,Hip,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,Brick Face,281.0,Good,Average/Typical,Poured Contrete,Good (90-99 inches),Typical - slight dampness allowed,No Exposure/No Basement,Unfinished/No Basement,0,Unfinished/No Basement,0,1777,1777,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1795,0,0,1795,0,0,2,0,3,1,Good,7,Typical Functionality,1,Attached to home,2002.0,Rough Finished,534,Typical/Average,Typical/Average,Paved,171,159,0,0,0,0,0,9,2008,Warranty Deed - Conventional,Normal Sale,230000
24,1-Story PUD (Planned Unit Development) - 1946 & Newer,Residential Medium Density,4224,Paved,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Meadow Village,Normal,Normal,Townhouse End Unit,One story,5,7,1976,1976,Gable,Standard (Composite) Shingle,Cement Board,Cement Board,None,0.0,Average/Typical,Average/Typical,Poured Contrete,Good (90-99 inches),Typical - slight dampness allowed,No Exposure/No Basement,Good Living Quarters,840,Unfinished/No Basement,0,200,1040,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1060,0,0,1060,1,0,1,0,3,1,Typical/Average,6,Typical Functionality,1,Attached to home,1976.0,Unfinished/No Garage,572,Typical/Average,Typical/Average,Paved,100,110,0,0,0,0,0,6,2007,Warranty Deed - Conventional,Normal Sale,129900
25,1-Story 1946 & Newer All Styles,Residential Low Density,8246,Paved,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Sawyer,Normal,Normal,Single-family Detached,One story,5,8,1968,2001,Gable,Standard (Composite) Shingle,Plywood,Plywood,None,0.0,Average/Typical,Good,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,Mimimum Exposure,Average Rec Room,188,Average Living Quarters,668,204,1060,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1060,0,0,1060,1,0,1,0,3,1,Good,6,Typical Functionality,1,Attached to home,1968.0,Unfinished/No Garage,270,Typical/Average,Typical/Average,Paved,406,90,0,0,0,0,0,5,2010,Warranty Deed - Conventional,Normal Sale,154000
26,1-Story 1946 & Newer All Styles,Residential Low Density,14230,Paved,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Corner lot,Gentle slope,Northridge Heights,Normal,Normal,Single-family Detached,One story,8,5,2007,2007,Gable,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,Stone,640.0,Good,Average/Typical,Poured Contrete,Good (90-99 inches),Typical - slight dampness allowed,No Exposure/No Basement,Unfinished/No Basement,0,Unfinished/No Basement,0,1566,1566,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1600,0,0,1600,0,0,2,0,3,1,Good,7,Typical Functionality,1,Attached to home,2007.0,Rough Finished,890,Typical/Average,Typical/Average,Paved,0,56,0,0,0,0,0,7,2009,Warranty Deed - Conventional,Normal Sale,256300
27,1-Story 1946 & Newer All Styles,Residential Low Density,7200,Paved,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Corner lot,Gentle slope,North Ames,Normal,Normal,Single-family Detached,One story,5,7,1951,2000,Gable,Standard (Composite) Shingle,Wood Siding,Wood Siding,None,0.0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,Mimimum Exposure,Below Average Living Quarters,234,Average Rec Room,486,180,900,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,900,0,0,900,0,1,1,0,3,1,Good,5,Typical Functionality,0,Detached from home,2005.0,Unfinished/No Garage,576,Typical/Average,Typical/Average,Paved,222,32,0,0,0,0,0,5,2010,Warranty Deed - Conventional,Normal Sale,134800
28,1-Story 1946 & Newer All Styles,Residential Low Density,11478,Paved,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Northridge Heights,Normal,Normal,Single-family Detached,One story,8,5,2007,2008,Gable,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,Stone,200.0,Good,Average/Typical,Poured Contrete,Excellent (100+ inches),Typical - slight dampness allowed,No Exposure/No Basement,Good Living Quarters,1218,Unfinished/No Basement,0,486,1704,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1704,0,0,1704,1,0,2,0,3,1,Good,7,Typical Functionality,1,Attached to home,2008.0,Rough Finished,772,Typical/Average,Typical/Average,Paved,0,50,0,0,0,0,0,5,2010,Warranty Deed - Conventional,Normal Sale,306000
29,1-Story 1946 & Newer All Styles,Residential Low Density,16321,Paved,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Cul-de-sac,Gentle slope,North Ames,Normal,Normal,Single-family Detached,One story,5,6,1957,1997,Gable,Standard (Composite) Shingle,Metal Siding,Metal Siding,None,0.0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,Good Exposure,Below Average Living Quarters,1277,Unfinished/No Basement,0,207,1484,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1600,0,0,1600,1,0,1,0,2,1,Typical/Average,6,Typical Functionality,2,Attached to home,1957.0,Rough Finished,319,Typical/Average,Typical/Average,Paved,288,258,0,0,0,0,0,12,2006,Warranty Deed - Conventional,Normal Sale,207500
30,1-Story 1945 & Older,Residential Medium Density,6324,Paved,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Brookside,Adjacent to feeder street,Within 200' of North-South Railroad,Single-family Detached,One story,4,6,1927,1950,Gable,Standard (Composite) Shingle,Metal Siding,Metal Siding,None,0.0,Average/Typical,Average/Typical,Brick & Tile,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure/No Basement,Unfinished/No Basement,0,Unfinished/No Basement,0,520,520,Gas forced warm air furnace,Fair,No,Standard Circuit Breakers & Romex,520,0,0,520,0,0,1,0,1,1,Fair,4,Typical Functionality,0,Detached from home,1920.0,Unfinished/No Garage,240,Fair/No Garage,Typical/Average,Paved,49,0,87,0,0,0,0,5,2008,Warranty Deed - Conventional,Normal Sale,68500
31,2-Story 1945 & Older,Commercial,8500,Paved,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Iowa DOT and Rail Road,Adjacent to feeder street,Normal,Single-family Detached,Two story,4,4,1920,1950,Gabrel (Barn),Standard (Composite) Shingle,Brick Face,Brick Face,None,0.0,Average/Typical,Fair,Brick & Tile,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure/No Basement,Unfinished/No Basement,0,Unfinished/No Basement,0,649,649,Gas forced warm air furnace,Average/Typical,No,Standard Circuit Breakers & Romex,649,668,0,1317,0,0,1,0,3,1,Typical/Average,6,Typical Functionality,0,Detached from home,1920.0,Unfinished/No Garage,250,Typical/Average,Fair/No Garage,Dirt/Gravel,0,54,172,0,0,0,0,7,2008,Warranty Deed - Conventional,Normal Sale,40000
32,1-Story 1946 & Newer All Styles,Residential Low Density,8544,Paved,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Cul-de-sac,Gentle slope,Sawyer,Normal,Normal,Single-family Detached,One story,5,6,1966,2006,Gable,Standard (Composite) Shingle,Hard Board,Hard Board,None,0.0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure/No Basement,Unfinished/No Basement,0,Unfinished/No Basement,0,1228,1228,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,1228,0,0,1228,0,0,1,1,3,1,Good,6,Typical Functionality,0,Attached to home,1966.0,Unfinished/No Garage,271,Typical/Average,Typical/Average,Paved,0,65,0,0,0,0,0,6,2008,Warranty Deed - Conventional,Normal Sale,149350
